id,source,date,rating,text,author,url,scraped_at
app_store_14363936049,app_store,2026-07-29T14:08:02-07:00,5,Gd service. Thanks for give us groceries item,Deepen der,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363792088,app_store,2026-07-29T13:16:21-07:00,5,Ok. Ok,Er CL Meena,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363664923,app_store,2026-07-29T12:32:02-07:00,1,"T. Worst customer support experience , I made a mistake ordering a Tv remote and reached out for a replacement right away , but they flatly refused to assist.  Save money and buy from some where else.  They are giving fake products",Rohit 2729,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363587940,app_store,2026-07-29T12:05:58-07:00,5,Jo sab pe nhi mila vo blinkit pe mila. Jo sab pe nhi mila vo blinkit pe mila,Deepak3440,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363389191,app_store,2026-07-29T11:00:38-07:00,5,Best Home delivery app. Best delivery app for wuick home needs FMCG products,Manojksoni,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363266567,app_store,2026-07-29T10:21:46-07:00,5,Woooh. It’s lightning fast🥰👌,Sharafu fazza,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363263874,app_store,2026-07-29T10:20:56-07:00,5,Good. Daily need,Yug Tina,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363237455,app_store,2026-07-29T10:12:46-07:00,5,Products. Best,Dev danu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363189434,app_store,2026-07-29T09:58:09-07:00,5,Setacfaction. Nice response,chander Jethmalani,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363143810,app_store,2026-07-29T09:44:18-07:00,1,"Damnn 🗯️. The app is really good and easy to use. Everything works well. I just have one suggestion—please add more daily needs products and expand the variety. That would make the app even better. Overall, it’s a great app!",Aviii 111,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363083548,app_store,2026-07-29T09:26:19-07:00,5,Fast. Fast As Flash,quaqub,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14363081043,app_store,2026-07-29T09:25:36-07:00,5,Forced to give review. App is good but unnecessarily overcharged,Xbyxjs,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362807582,app_store,2026-07-29T08:06:09-07:00,5,Blockbuster Blinkit. No Needed To Worry When Blinkit Is On Hurry😜,Sid Vin HRX,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362672906,app_store,2026-07-29T07:28:00-07:00,5,Truly Delivering Best. Ultimate. Never expect the same from others,PranayPrasoonMishra,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362582620,app_store,2026-07-29T07:02:34-07:00,1,Damaged soda bottle. Blink it is acting a a fraudulent manner and it is no surprise that every time an adverse comment has to be sent,Damaged products supplied,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362565940,app_store,2026-07-29T06:57:46-07:00,5,Quality product at low rates. Best service,Verma kpt,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362559573,app_store,2026-07-29T06:55:59-07:00,1,Charging extra handling charge in iphone. Just realised that they charge 13 rs as handling charge in iphone and just 5 rs in android. Not going to use Blinkit ever now,Rushali Chaurasiya,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362455655,app_store,2026-07-29T06:26:08-07:00,1,Extra handling charges. 12 rupees on 400 rupees order,Lawyerwithmoves,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362408286,app_store,2026-07-29T06:12:15-07:00,5,Review. It’s a very useful aap and saver thank you blinkit,Its jangra,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362307939,app_store,2026-07-29T05:42:17-07:00,1,"Unecessarily expensive and loot. Always charge extra on MRP. Adds irrelevant charges like handling fee, platform fee etc. And then manipulates by showing delivery fee as free",Nidtapan,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362195028,app_store,2026-07-29T05:06:56-07:00,5,The ambulance miracle. This is an appreciation post for the ambulance service of Blinkit. It’s an absolute life saver and one of the most compassionate and humane things ever done by any company in India. I have used it twice for my mother who is critically ill and I can’t thank the service and the staff enough. Hats off to Blinkit for the amazing gesture which is selfless and unmatched,Munishbhardwaj,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362135601,app_store,2026-07-29T04:47:35-07:00,5,Time Saviour. It’s good to have Al top brand and quality items in a single click with full of ease,Sanbond2020,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362096417,app_store,2026-07-29T04:34:35-07:00,5,Lightening quick!. Fast and right every time!!,Spn099,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362081162,app_store,2026-07-29T04:29:21-07:00,5,Amazing service. Clean service,gauravshah434,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14362059772,app_store,2026-07-29T04:22:01-07:00,5,Good service. Very fast service,Bhatfaisalbillu,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361912884,app_store,2026-07-29T03:28:54-07:00,5,"Best service. I’m using blanket since a long time, and I am very happy good service good price. Timely delivery prompt refund",Darshan ved,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
app_store_14361885281,app_store,2026-07-29T03:18:33-07:00,1,Worst return policy. They won’t accept replace orders,Kranthi—-,https://apps.apple.com/in/app/id960335206,2026-08-01 21:22:29 UTC
