Review,Rating,Date,Helpful Count,source,raw_text,cleaned_text
prompt service,5,2026-07-30 02:57:00 UTC,0,play_store,prompt service,prompt service
poor service.....and no proper resolution of issues,1,2026-07-30 02:49:09 UTC,0,play_store,poor service.....and no proper resolution of issues,poor serviceand proper resolution issue
fast sarvice,5,2026-07-30 02:47:13 UTC,0,play_store,fast sarvice,fast sarvice
very bad price high,1,2026-07-30 02:38:37 UTC,0,play_store,very bad price high,bad price high
the costumer care don't help mad no return or replace is available if it is available then also they do return or replace your order it better to order in Amazon and wait for 2 to 3 days,1,2026-07-30 02:37:17 UTC,0,play_store,the costumer care don't help mad no return or replace is available if it is available then also they do return or replace your order it better to order in Amazon and wait for 2 to 3 days,costumer care dont help mad return replace available available also return replace order good order amazon wait 2 3 day
best price and servcs,5,2026-07-30 02:31:41 UTC,0,play_store,best price and servcs,best price servcs
It's okay for now,5,2026-07-30 02:29:09 UTC,0,play_store,It's okay for now,okay
Japan level convenience 👌,5,2026-07-30 02:26:48 UTC,0,play_store,Japan level convenience 👌,japan level convenience
kush itam bahut costly hai,4,2026-07-30 02:22:46 UTC,0,play_store,kush itam bahut costly hai,kush itam bahut costly hai
better ❤️❤️,5,2026-07-30 02:15:10 UTC,0,play_store,better ❤️❤️,well
bahut hi achcha hai aur fast delivery,5,2026-07-30 02:12:19 UTC,0,play_store,bahut hi achcha hai aur fast delivery,bahut hi achcha hai aur fast delivery
grateful 🥰,3,2026-07-30 02:04:56 UTC,0,play_store,grateful 🥰,grateful
superfast delivery,5,2026-07-30 01:54:03 UTC,0,play_store,superfast delivery,superfast delivery
exilent service,5,2026-07-30 01:51:54 UTC,0,play_store,exilent service,exilent service
otp time is very less so pl increase otp time,4,2026-07-30 01:50:55 UTC,0,play_store,otp time is very less so pl increase otp time,otp time less pl increase otp time
nice app for home delivery,5,2026-07-30 01:49:02 UTC,0,play_store,nice app for home delivery,nice app home delivery
"they deliver defective articles don't not replace. reason they give is, they could not verify the defective articles. one should buy groceries only.",1,2026-07-30 01:48:03 UTC,0,play_store,"they deliver defective articles don't not replace. reason they give is, they could not verify the defective articles. one should buy groceries only.",deliver defective article dont replace reason give could verify defective article one buy grocery
bed service,1,2026-07-30 01:43:28 UTC,0,play_store,bed service,bed service
pahle jaisa aab delivery fast nhi rha hai bilinkit ka store pe hi bahut time lga deta hai or insaan ko burbak bnata hai ki sasta hai koi sasta nhi hai bhai sab bewkoof bna rha hai or paisa lut rha hai sab,1,2026-07-30 01:39:40 UTC,0,play_store,pahle jaisa aab delivery fast nhi rha hai bilinkit ka store pe hi bahut time lga deta hai or insaan ko burbak bnata hai ki sasta hai koi sasta nhi hai bhai sab bewkoof bna rha hai or paisa lut rha hai sab,pahle jaisa aab delivery fast nhi rha hai bilinkit ka store pe hi bahut time lga deta hai insaan ko burbak bnata hai ki sasta hai koi sasta nhi hai bhai sab bewkoof bna rha hai paisa lut rha hai sab
"monopoly near bagru, high convenience fee and delivery charges, bad behaviour from delivery partners",3,2026-07-30 01:32:01 UTC,0,play_store,"monopoly near bagru, high convenience fee and delivery charges, bad behaviour from delivery partners",monopoly near bagru high convenience fee delivery charge bad behaviour delivery partner
